movieid,title,genres,string_agg,feature
113,春去春又來,['劇情'],['Ji Dae-han'],春去春又來 劇情 寺廟 一個 老僧 童僧 生活 基德 
114,麻雀變鳳凰,"['喜劇,愛情']",['Billy Gallo'],"麻雀變鳳凰 喜劇,愛情 愛情 鉅子 結束 妓女 花用 現代版 "
115,謀殺綠腳趾,"['犯罪,喜劇']",['Christian Clemenson'],"謀殺綠腳趾 犯罪,喜劇 傑夫布里吉 地毯 樂保 混混 富豪 歹徒 "
116,愛情決勝點,"['劇情,驚悚,愛情,犯罪']",['Alexander Armstrong'],"愛情決勝點 劇情,驚悚,愛情,犯罪 運氣 克裡斯 最佳 好運 因為 最後 "
117,鐵面無私,"['犯罪,劇情,驚悚,歷史']",['Robert Swan'],"鐵面無私 犯罪,劇情,驚悚,歷史 私酒 獲得 奈斯 暴力 警匪片 最佳 "
118,巧克力冒險工廠,"['喜劇,奇幻,家庭,冒險']",['Deep Roy'],"巧克力冒險工廠 喜劇,奇幻,家庭,冒險 工廠 這座 威利 巧克力 神秘 起疑心 "
120,魔戒首部曲：魔戒現身,"['動作,奇幻,冒險']",['Cate Blanchett'],"魔戒首部曲魔戒現身 動作,奇幻,冒險 佛羅 索倫 戒指 魔戒 年輕人 無意 "
121,魔戒二部曲：雙城奇謀,"['冒險,動作,奇幻']",['Phil Grieve'],"魔戒二部曲雙城奇謀 冒險,動作,奇幻 魔戒 佛羅 哈比 山姆 哈比人 繼續 "
122,魔戒三部曲：王者再臨,"['奇幻,動作,冒險']",['Viggo Mortensen'],"魔戒三部曲王者再臨 奇幻,動作,冒險 索倫 佛羅 魔眼 魔戒 何一 勝利 "
128,魔法公主,"['奇幻,動畫,冒險']",['Yōji Matsuda'],"魔法公主 奇幻,動畫,冒險 鐵彈 阿席 達卡 邪魔 詛咒 黑帽 "
129,神隱少女,"['動畫,家庭,奇幻']",['Mayumi Saco'],"神隱少女 動畫,家庭,奇幻 千尋 澡堂 父母 神靈 哈克 來到 "
135,別回頭,"['紀錄,音樂']",['Donovan'],"別回頭 紀錄,音樂 巴布狄倫 這部 紀錄片 1965 英國 巡演 "
137,今天暫時停止,"['奇幻,劇情,喜劇,愛情']",['Ken Hudson Campbell'],"今天暫時停止 奇幻,劇情,喜劇,愛情 菲爾 醒來 發現 從此 日復一日 過著 "
140,壞教慾,"['劇情,懸疑,驚悚,愛情,犯罪']",['Lluís Homar'],"壞教慾 劇情,懸疑,驚悚,愛情,犯罪 伊納休 安利奎 馬諾羅 神父 那名 一個 "
141,怵目驚魂28天,"['懸疑,奇幻,劇情']",['David St. James'],"怵目驚魂天 懸疑,奇幻,劇情 東尼 唐尼 毀滅 開始 詭譎 週遭 "
142,斷背山,"['愛情,劇情']",['Jake Church'],"斷背山 愛情,劇情 2006 最佳 導演 傑克 葛倫 希斯萊傑 "
145,破浪而出,"['劇情,愛情']",['Jean-Marc Barr'],"破浪而出 劇情,愛情 貝絲 亞恩 病情 病院 丈夫 世紀 "
146,卧虎藏龍,"['愛情,劇情,動作,冒險']",['Bin Chen'],"卧虎藏龍 愛情,劇情,動作,冒險 寶劍 青冥 劍客 李慕白 鏢頭 俞秀蓮 "
147,四百擊,['劇情'],['Albert Rémy'],四百擊 劇情 安端 電影 母親 楚浮 感化院 雷內 
149,阿基拉,"['動畫,科幻,動作']",['Tesshou Genda'],"阿基拉 動畫,科幻,動作 動畫 大師 大友克洋 講述 未來 社會 "
150,48小時,"['劇情,喜劇,驚悚,犯罪,動作']",['Kerry Sherman'],"小時 劇情,喜劇,驚悚,犯罪,動作 哈蒙 兩人 雷吉 本片 爆笑 艾迪 "
152,星艦奇航記,"['科幻,懸疑,冒險']",['Stephen Collins'],"星艦奇航記 科幻,懸疑,冒險 企業號 寇克 艦長 戴克 任務 船員 "
153,愛情不用翻譯,"['喜劇,愛情,劇情']",['Akiko Takeshita'],"愛情不用翻譯 喜劇,愛情,劇情 這個 發生 東京 兩個 美國人 鮑伯 "
154,星艦奇航記2：星戰大怒吼,"['冒險,科幻,驚悚,動作']",['Nichelle Nichols'],"星艦奇航記星戰大怒吼 冒險,科幻,驚悚,動作 寇克 任務 最後 求去 艦長 率領 "
155,黑暗騎士,"['犯罪,驚悚,動作,劇情']",['Keith Szarabajka'],"黑暗騎士 犯罪,驚悚,動作,劇情 譚市 蝙蝠俠 打擊 丹特 犯罪 小丑 "
157,星艦奇航記3：石破天驚,"['冒險,動作,科幻,驚悚']",['Phil Morris'],"星艦奇航記石破天驚 冒險,動作,科幻,驚悚 他們 伯克 企業號 華肯 行星 再度 "
161,瞞天過海,"['犯罪,驚悚']",['Thomas Rosales Jr.'],"瞞天過海 犯罪,驚悚 泰瑞 一億五千萬 奪取 拉斯堤 他們 計劃 "
162,剪刀手愛德華,"['奇幻,劇情,愛情']",['John Davidson'],"剪刀手愛德華 奇幻,劇情,愛情 愛德華 科學家 因為 一個 一雙 發現 "
163,瞞天過海2：長驅直入,"['驚悚,犯罪']",['Catherine Zeta-Jones'],"瞞天過海長驅直入 驚悚,犯罪 丹尼歐 賭場 班奈 億六千萬 他們 老大 "
164,第凡內早餐,"['喜劇,愛情']",['Mickey Rooney'],"第凡內早餐 喜劇,愛情 奧黛麗赫本 荷莉 導演 最佳 本片 根據 "
165,回到未來2,"['冒險,家庭,科幻,喜劇']",['Jeffrey Weissman'],"回到未來 冒險,家庭,科幻,喜劇 未來 馬帝 畢夫 1955 兩人 時光機 "
166,第一次接觸,"['愛情,喜劇,劇情']",['Alain Beigel'],"第一次接觸 愛情,喜劇,劇情 蘇菲瑪索 13 母親 初戀 愛情 父母 "
167,K星異客,"['劇情,科幻']",['Lance E. Nichols'],"星異客 劇情,科幻 醫師 洛特 星球 治療 開始 必須 "
168,星艦奇航記4：搶救未來,"['科幻,冒險']",['James Doohan'],"星艦奇航記搶救未來 科幻,冒險 銀河 太空船 寇克 將軍 領導 企業號 "
169,終極戰士2,"['科幻,動作,驚悚']","[""Billy 'Sly' Williams""]","終極戰士 科幻,動作,驚悚 1997 洛杉磯 殘酷 殺手 來到 這個 "
170,28天毀滅倒數,"['科幻,恐怖,驚悚']",['Stuart McQuarrie'],"天毀滅倒數 科幻,恐怖,驚悚 傳染 病毒 發現 倫敦 28 特利 "
171,再一次接觸,"['劇情,喜劇,愛情']",['Laetitia Gabrielli'],"再一次接觸 劇情,喜劇,愛情 小薇 婷婷玉立 曾祖母 接觸 原班人馬 拍攝 "
172,星艦奇航記5：終極先鋒,"['驚悚,科幻,動作,冒險']",['Michael Berryman'],"星艦奇航記終極先鋒 驚悚,科幻,動作,冒險 企業號 星艦奇航記 電影 第五集 寇克 船長 "
174,星艦奇航記6：邁入未來,"['驚悚,冒險,科幻,動作']",['Leonard Nimoy'],"星艦奇航記邁入未來 驚悚,冒險,科幻,動作 星際 企業號 求和 9521.6 年間 叱吒 "
175,碧海藍天,"['劇情,冒險,愛情']",['Eric Do'],"碧海藍天 劇情,冒險,愛情 雅克 丹佐 潛水 一場 深海 雅克則 "
176,奪魂鋸,"['犯罪,恐怖,懸疑']",['Ned Bellamy'],"奪魂鋸 犯罪,恐怖,懸疑 勞倫斯 他們 亞當 一個 兩人 兩個 "
177,奇幻城市,"['劇情,喜劇']",['Kathy Najimy'],"奇幻城市 劇情,喜劇 派瑞 裡的 傑克 一個 瘋子 酒吧 "
180,關鍵報告,"['驚悚,動作,科幻,懸疑']",['Victor Raider-Wexler'],"關鍵報告 驚悚,動作,科幻,懸疑 約翰 安德頓 未來 系統 沒有 一個 "
184,黑色終結令,"['犯罪,驚悚,劇情']",['Chris Tucker'],"黑色終結令 犯罪,驚悚,劇情 賈姬 羅比 他們 黑道 警探 為了 "
185,發條橘子,"['劇情,科幻']",['Carol Drinkwater'],"發條橘子 劇情,科幻 作惡 電影 力克 最佳 榮獲 改編 "
186,關鍵密碼,"['懸疑,犯罪,驚悚,劇情']",['Peter Outerbridge'],"關鍵密碼 懸疑,犯罪,驚悚,劇情 萊文 老闆 尼克 紐約 拉比 公寓 "
187,萬惡城市,"['驚悚,動作,犯罪']",['Jeff Schwan'],"萬惡城市 驚悚,動作,犯罪 法蘭克米勒 漫畫 萬惡 米基 洛克 本片 "
189,萬惡城市：紅顏奪命,"['動作,犯罪,驚悚']",['Lady Gaga'],"萬惡城市紅顏奪命 動作,犯罪,驚悚 故事 南希 復仇 發現 一場 則是 "
192,薔薇的記號,"['懸疑,劇情,驚悚']",['Ron Perlman'],"薔薇的記號 懸疑,劇情,驚悚 威廉 元兇 貝納 追緝 宗教 一步 "
193,星艦奇航記7：日換星移,"['冒險,動作,科幻,驚悚']",['Jacqueline Kim'],"星艦奇航記日換星移 冒險,動作,科幻,驚悚 企業號 星際 歡迎 艦長 索朗 皮卡 "
194,艾蜜莉的異想世界,"['喜劇,愛情']",['Ticky Holgado'],"艾蜜莉的異想世界 喜劇,愛情 艾蜜莉 公寓 焦糖 蒙馬特 咖啡館 獨自 "
196,回到未來3,"['科幻,喜劇,冒險']",['Harry Carey'],"回到未來 科幻,喜劇,冒險 馬帝 博士 1885 時光機器 發現 射殺 "
197,梅爾吉勃遜之英雄本色,"['戰爭,歷史,動作,劇情']",['Patrick McGoohan'],"梅爾吉勃遜之英雄本色 戰爭,歷史,動作,劇情 蘇格蘭 華勒 艾德華 歷史 駕崩 威廉 "
198,你逃我也逃,"['喜劇,戰爭']",['Jack Benny'],"你逃我也逃 喜劇,戰爭 Maria Sobinski Siletsky 納粹 波蘭 劇團 "
199,星艦奇航記8：戰鬥巡航,"['科幻,冒險,驚悚,動作']",['James Cromwell'],"星艦奇航記戰鬥巡航 科幻,冒險,驚悚,動作 影集 本片 星艦 延續 歷史 電影版 "
200,星艦奇航記9：星際叛變,"['動作,冒險,驚悚,科幻']",['Breon Gorman'],"星艦奇航記星際叛變 動作,冒險,驚悚,科幻 艦長 巴庫 星人 星際 畢凱 企業號 "
201,星艦奇航記10：星戰啟示錄,"['驚悚,冒險,動作,科幻']",['Brent Spiner'],"星艦奇航記星戰啟示錄 驚悚,冒險,動作,科幻 畢凱 星艦 羅慕 企業號 總督 辛宗 "
204,恐懼的代價,"['劇情,驚悚,冒險']",['Antonio Centa'],"恐懼的代價 劇情,驚悚,冒險 里歐 發生 四人 一路 四千元 某個 "
205,盧安達飯店,"['歷史,劇情,戰爭']",['Nick Nolte'],"盧安達飯店 歷史,劇情,戰爭 飯店 盧安達 保羅 100 屠殺 不顧 "
207,春風化雨,['劇情'],['Melora Walters'],春風化雨 劇情 基頓 老師 學生 教學 文學 課本 
213,北西北,"['懸疑,驚悚']",['Jeffrey Sayre'],"北西北 懸疑,驚悚 普林 羅傑 一場 希區考克 Alfred Hitchcock "
214,奪魂鋸3,"['犯罪,驚悚,恐怖']",['Debra McCabe'],"奪魂鋸 犯罪,驚悚,恐怖 拼圖 殺人狂 還有 傑夫 蓮恩 必須 "
215,奪魂鋸2,['恐怖'],['Ho Chow'],奪魂鋸 恐怖 艾瑞克 馬森 東尼 殺人 狂將 毒氣 
216,恐懼吞噬心靈,"['愛情,劇情']",['Brigitte Mira'],"恐懼吞噬心靈 愛情,劇情 艾米 阿里 他們 鄰居 排擠 因為 "
217,印第安納瓊斯：水晶骷髏王國,"['動作,冒險']",['Brian Knutson'],"印第安納瓊斯水晶骷髏王國 動作,冒險 瓊斯 蘇聯 他們 骷髏 來到 間諜 "
218,魔鬼終結者,"['驚悚,動作,科幻']",['William Wisher Jr.'],"魔鬼終結者 驚悚,動作,科幻 莎拉 800 雷斯 約翰 電腦 天網 "
219,玩美女人,"['喜劇,劇情,愛情']",['María Alfonsa Rosso'],"玩美女人 喜劇,劇情,愛情 木妲 伊列 母親 寶拉 兩人 父親 "
220,天倫夢覺,"['愛情,劇情']",['Nick Dennis'],"天倫夢覺 愛情,劇情 卡爾 狄恩 詹姆斯 哥哥 約翰 史坦貝克 "
221,養子不教誰之過,['劇情'],['James Dean'],養子不教誰之過 劇情 Jim Judy Frank 同學 洛杉磯 Plato 
223,蝴蝶夢,"['劇情,懸疑,驚悚,愛情']",['Leo G. Carroll'],"蝴蝶夢 劇情,懸疑,驚悚,愛情 德文 莊園 這個 貝卡 曼德 新婚 "
226,男孩別哭,"['犯罪,劇情']",['Alicia Goranson'],"男孩別哭 犯罪,劇情 布蘭頓 奧斯 他們 一個 拉娜 約翰 "
228,藍天使,['劇情'],['Roland Varno'],藍天使 劇情 艾瑪 拉斯 勞拉 規矩 學生 舉動 
231,諜對諜,"['驚悚,劇情']",['Nicky Henson'],"諜對諜 驚悚,劇情 中情局 本片 改編 引人入勝 CIA 探員 "
235,站在我這邊,"['犯罪,劇情']",['Jason Oliver'],"站在我這邊 犯罪,劇情 1987 屍體 他們 最佳 提名 本片 "
238,教父,"['犯罪,劇情']",['Richard Conte'],"教父 犯罪,劇情 教父 黑手黨 家族 里昂 因為 索洛索 "
239,熱情如火,"['犯罪,喜劇,音樂,愛情']",['Joan Shawlee'],"熱情如火 犯罪,喜劇,音樂,愛情 邁阿密 於是 一場 追殺 Kane 黑道 "
240,教父第二集,"['劇情,犯罪']",['Tere Livrano'],"教父第二集 劇情,犯罪 麥克 教父 事業 危機 家庭 里昂 "
241,閃靈殺手,"['驚悚,劇情,犯罪']",['James Gammon'],"閃靈殺手 驚悚,劇情,犯罪 兩人 米基 從小 生長 殘暴 梅樂 "
242,教父第三集,"['驚悚,劇情,犯罪']",['Ludovico Caldarera'],"教父第三集 驚悚,劇情,犯罪 麥可 黑幫 家族 里昂 導演 決定 "
245,非關男孩,"['劇情,喜劇,愛情']",['Tessa Vale'],"非關男孩 劇情,喜劇,愛情 威爾 馬克斯 一個 發現 單親 遇見 "
246,盲劍俠,"['冒險,動作,劇情']",['Saburo Ishikura'],"盲劍俠 冒險,動作,劇情 座頭市 武士 一個 劍術 為了 姊弟 "
247,殺手,"['劇情,驚悚,犯罪']",['Richard Reeves'],"殺手 劇情,驚悚,犯罪 計劃 喬尼 搶劫 同夥 情夫 科雷 "
251,第六感生死戀,"['奇幻,愛情,驚悚,懸疑,劇情']",['Bruce Jarchow'],"第六感生死戀 奇幻,愛情,驚悚,懸疑,劇情 莫莉 最佳 入圍 山姆 原著 歹徒 "
253,007：生死關頭,"['驚悚,冒險,動作']",['James Drake'],"生死關頭 驚悚,冒險,動作 龐德 坎南 007 女郎 占卜 前往 "
254,金剛,"['劇情,動作,冒險']",['Frank Edwards'],"金剛 劇情,動作,冒險 金剛 探險家 傳說 這群 探險隊 美女 "
257,孤雛淚,"['犯罪,家庭,劇情']",['Barney Clark'],"孤雛淚 犯罪,家庭,劇情 奧利佛 魔手 講述 孤兒 濟貧 悲慘 "
258,婚姻生活,"['愛情,喜劇,劇情']",['François Truffaut'],"婚姻生活 愛情,喜劇,劇情 克里斯汀 25 安東尼 皮埃爾 奧德 Jean "
259,消逝的愛,"['喜劇,劇情,愛情']",['Dani'],"消逝的愛 喜劇,劇情,愛情 兩人 安托萬 成為 緣分 離婚 萊特 "
260,國防大機密,"['驚悚,懸疑']",['Wylie Watson'],"國防大機密 驚悚,懸疑 漢內 九級 台階 梅拉 三十 音樂廳 "
262,喜劇之王,"['劇情,喜劇']",['Frederick de Cordova'],"喜劇之王 劇情,喜劇 傑瑞 魯帕 1984 脫口秀 瑪莎 機會 "
267,顫抖的慾望,"['劇情,愛情,驚悚']",['Mariola Fuentes'],"顫抖的慾望 劇情,愛情,驚悚 維多 公車 年輕 因為 阿莫 妙事 "
268,蝙蝠俠,"['動作,奇幻']",['Michael Gough'],"蝙蝠俠 動作,奇幻 於是 譚市 危險 蝙蝠俠 犯罪 警政署 "
269,斷了氣,"['犯罪,劇情']",['Daniel Boulanger'],"斷了氣 犯罪,劇情 電影 高達 經典 好萊塢 巴蒂 法國 "
271,強盜的女兒,"['冒險,家庭,奇幻,劇情']",['Tommy Körberg'],"強盜的女兒 冒險,家庭,奇幻,劇情 綠林 兩個 他們 首領 馬堤 反對 "
272,蝙蝠俠：開戰時刻,"['動作,犯罪,劇情']",['Morgan Freeman'],"蝙蝠俠開戰時刻 動作,犯罪,劇情 成為 正義 蝙蝠俠 譚市 之後 犯罪 "
274,沉默的羔羊,"['驚悚,劇情,犯罪,恐怖']",['Lawrence T. Wrentz'],"沉默的羔羊 驚悚,劇情,犯罪,恐怖 兇手 調查員 醫生 一個 聯邦 線索 "
275,冰血暴,"['驚悚,劇情,犯罪']",['William H. Macy'],"冰血暴 驚悚,劇情,犯罪 狀況 兩名 混混 債務 壓得 不過 "
277,決戰異世界,"['奇幻,驚悚,動作']",['Wentworth Miller'],"決戰異世界 奇幻,驚悚,動作 狼人 吸血鬼 幾個 世紀 以來 族類 "
278,刺激1995,"['劇情,犯罪']",['James Whitmore'],"刺激 劇情,犯罪 安迪 監獄 囚犯 情夫 銀行家 本欲 "
279,阿瑪迪斯,"['音樂,歷史,劇情']",['Jiří Lír'],"阿瑪迪斯 音樂,歷史,劇情 莫扎特 埃利 薩裡 莫瑞 亞伯拉罕 歌劇 "
280,魔鬼終結者 2,"['驚悚,動作,科幻']",['Edward Furlong'],"魔鬼終結者 驚悚,動作,科幻 約翰 終結 莎拉 1000 機器人 未來 "
281,21世紀的前一天,"['犯罪,驚悚,科幻,劇情']",['Jim Ishida'],"世紀的前一天 犯罪,驚悚,科幻,劇情 經驗 藍尼 記憶 夥伴 介面 出售 "
284,公寓春光,"['愛情,喜劇,劇情']",['Ray Walston'],"公寓春光 愛情,喜劇,劇情 Baxter Fran Jeffery 一個 幽會 麥克 "
285,神鬼奇航3：世界的盡頭,"['奇幻,冒險,動作']",['David Bailie'],"神鬼奇航世界的盡頭 奇幻,冒險,動作 戴維 瓊斯 盡頭 傑克 加勒比海 死界 "
287,百萬金臂,"['喜劇,愛情']",['Henry G. Sanders'],"百萬金臂 喜劇,愛情 棒球 紐克 克拉 運動 體育 比賽 "
